Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Fields of Study,Keywords,MeSH Terms,Chemicals,DOI
016-211-705-011-57X,Abduction of Children by Their Parents: A Survey of the Problem,,1991,journal article,Social work,00378046; 15456846,Oxford University Press (OUP),United States,Rebecca L. Hegar; Geoffrey L. Greif,"On the basis of a survey of a non-representative national sample of 371 parents who sought help from missing children's organizations, this article provides a profile of families in which children were abducted by one of the parents. Abductors were described as less educated and less likely to be employed than searching parents. In this survey, three-fourths of abducted children were younger than seven years of age; most abductions involved a single child. Although the abducting parents tended to be male (55 percent, n = 205), the proportion of female abductors was higher than in previous research. Mothers whose children were kidnapped by the father described more violence in their marriages, more fault-related reasons for divorce, and more force used in the abduction than did fathers whose children were kidnapped by the mother. The different family and social experiences of these men and women are discussed, and implications for social work practice are explored.",Developmental psychology; Psychology; Social work; Child custody; Sample (statistics),,Child; Child Custody; Crime/statistics & numerical data; Educational Status; Employment/statistics & numerical data; Family/psychology; Female; Humans; Male; Motivation; Parents/education; Surveys and Questionnaires; United States,,10.1093/sw/36.5.421
016-397-864-556-735,"Lost and found in El Salvador
            <b>Reunion</b>
            <i>Elizabeth Barnert</i>
            University of California Press, 2023. 370 pp.",2023-02-10,2023,journal article,Science,00368075; 10959203,American Association for the Advancement of Science (AAAS),United States,Victor Penchaszadeh,"<jats:p>Separated by civil war, families turn to genetic testing to locate missing children</jats:p>",Art; Humanities; Environmental ethics; Philosophy,,,,10.1126/science.adg2895
016-449-496-492-484,References,2025-12-08,2025,book chapter,Repeatedly Missing Children,,Emerald Publishing Limited,,,,,,,,10.1108/978-1-80686-039-520251008
016-457-553-067-565,Efficient Smart Agent System for Monitoring and Preventing Kidnapping,2018-03-09,2018,journal article,Journal of Excellence in Computer Science and Engineering,24551937,Portico,,S Dhanasekaran; V Vasudevan,"The main aspect of developing this community service research work is to prevent kidnapping activity as well as effectively monitoring such a kind of incident. Nowadays working women are kidnapped and even they are murdered by the strangers. To avoid such kidnapping, we have planned to develop an intelligent agent system to be worked as part of community and to prevent and monitor kidnap activities when women are in critical situation. This app makes the people aware of certain harassments happening all over the world in order to save the sufferers. This can be done by using simple Java (or) XML which uses only less memory (RAM) so that every people with smart phone can get access to it without any difficulty. This app alerts the nearby police stations through our agent system that particular person is in risk and needs immediate attention. This is a privacy app which can be used only by female gender by giving valid identity. The primary intention of this intelligent agent system is to save all girls in the society, where the girls and women truly deserve care and help.",Business,Smart agent; Anti-kidnapping; GPS tracker; Harassments; Monitoring,,,10.18831/djcse.in/2018021001
016-559-428-912-923,"My Child's Journey Home: Perspectives of Adult Family Members on the Separation and Reunification of the ""Disappeared"" Children of El Salvador.",,2019,journal article,Human rights quarterly,02750392; 1085794x,Project MUSE,United States,Elizabeth S. Barnert; Nathalie Lopez; Philippe Bourgois; Gery Ryan; Paul J. Chung; Eric Stover,"This article explores family separation and reunification of the disappeared Salvadoran children separated from their families during El Salvador's civil war (1980-1992) from the perspectives of adult relatives. During separation, adult relatives experienced an ""unresolvable loss."" Following reunion, families experienced an immediate relief that was often accompanied by an ""ambiguous reunification."" Emotions were especially complicated and painful when the separation had been a ""forced choice"" by the parent under coercive wartime political conditions. Adoptive parents strongly influenced reunification. Findings suggest that disappeared children and biological and adoptive family members need psycho-social support throughout separation and reunification.",Political science; Separation (statistics); Criminology; Spanish Civil War; Politics,,,,10.1353/hrq.2019.0004
016-696-696-086-542,1. Statistical analysis,2016-12-31,2016,book chapter,Canada's Residential Schools: Missing Children and Unmarked Burials,,McGill-Queen's University Press,,Commission de vérité et réconciliation du Canada,,Computer science,,,,10.1515/9780773598256-001
016-721-408-243-235,Responses to Abducted Children,2019-09-05,2019,book chapter,Kidnapping and Violence,,Springer New York,,Stephen J. Morewitz,"In the United States, since the 1930s, laws, policies, organizations, and treatment programs have been established to improve responses to the problems of abducted and missing children (Karmen 2010; Beck and Miltenberger 2009; Griffin 2010; Jones 2003; Office of Juvenile Justice and Delinquency Prevention 2008). For Zgoba (2004a), moral panic develops from the media’s coverage of child abduction. People may hear about a few sensational child abduction cases and then incorrectly perceive the problem of child kidnappings as a pervasive and intense threat to society. Their false social constructions of the social problems outweigh the true nature of the problem. These crime myths may become embedded in our consciousness and lead policy-makers to develop laws and policies that are not based on reliable research (Kappeler and Potter 2005; Zgoba 2004a).",Economic Justice; Moral panic; Psychology; Social constructionism; Consciousness; Griffin; Mythology; Social issues; Juvenile delinquency; Criminology,,,,10.1007/978-1-4939-2117-1_6
016-721-419-376-746,ICISSP - Presence Metadata in the Internet of Things: Challenges and Opportunities.,,2020,conference proceedings article,Proceedings of the 6th International Conference on Information Systems Security and Privacy,,SCITEPRESS - Science and Technology Publications,,Robert Hegarty; John Haggerty,"The Internet of Things is an emerging computing paradigm that promises to revolutionise society. The; widespread capture and aggregation of data from sensors and smart devices combined with processing using; machine learning in cloud computing platforms provides unrivalled insights into our environment. In addition; to the numerous benefits (smart healthcare, cities, transportation, etc.) such insights potentially jeopardise the; privacy of individuals, organisations, and society as whole. This is despite UK and EU regulations attempting; to mitigate the risk of individuals’ data exposure and the impact of it on their security. To demonstrate the; exploitation of metadata and its threat to privacy, this paper presents Meta-Blue, a Bluetooth Low Energy; metadata capture, analysis, and visualisation tool. The results of a case study are combined with an overview; of literature on IoT privacy to provide a holistic overview of the challenges and opportunities presented by; IoT metadata.",Data science; Bluetooth Low Energy; Visualization; Computer science; Cloud computing; Internet of Things; Metadata,Internet of Things; Security; Privacy; Metadata,,,10.5220/0009094106310638
016-889-125-706-892,<scp>NISMART</scp>,2017-11-20,2017,other,The Encyclopedia of Juvenile Delinquency and Justice,,Wiley,,Andrea J. Sedlak,"<jats:p>The National Incidence Studies of Missing, Abducted, Runaway, and Thrownaway Children (NISMART) are congressionally mandated periodic efforts of the US Department of Justice to assess the numbers and rates of children who experience episodes that can lead them to become missing (episode children) and the numbers and rates of episode children who actually were missing from their caretakers (caretaker missing) or reported as missing to law enforcement or a missing children's agency for purposes of locating the child (reported missing). Findings from two cycles have been published and the third cycle is currently in press. All NISMART cycles included multiple studies. The first two NISMART cycles reported findings based on a household survey of adults, a household survey of youth, a juvenile residential facilities study, and a law enforcement study. NISMART‐3 reported findings from a household survey of adults on children abducted by family, who were runaways or thrownaways, and on children who were missing because they were lost, injured, or stranded or because of misunderstandings. NISMART‐2 and NISMART‐3 also reported results from law enforcement studies on children who were victims of stereotypical kidnappings. The government is exploring other designs for future NISMARTs.</jats:p>",Law enforcement; Enforcement; Government (linguistics); Agency (philosophy); Missing data; Settlement (finance); Psychology; Economic Justice; Political science; Law; Business; Sociology; Statistics; Payment; Mathematics; Linguistics; Social science; Philosophy; Finance,,,,10.1002/9781118524275.ejdj0058
016-911-805-811-440,Contributing in the identification of missing children: the dentist's role.,2010-03-01,2010,journal article,Research Journal of Medical Sciences,18159346; 19936095,Medwell Publications,Pakistan,Christos Stavrianos; Panagiotis Kafas; H. Katsikogiani; G. Tretiakov; A. Kokkas,,Identification (biology); Dentistry; Medicine,,,,10.3923/rjmsci.2010.128.135
017-019-868-688-397,Notes,2016-01-01,2016,book chapter,Canada's Residential Schools: Missing Children and Unmarked Burials,,MQUP,,,,Philosophy,,,,10.2307/j.ctt19rmbnh.12
017-094-291-494-060,"Effects of Autonomous Community Gardening Activities in the Workplace on Job Stress, Organizational Effectiveness and Self-Esteem of Public Officials Working in Shifts",2019-04-30,2019,journal article,"Journal of People, Plants, and Environment",25087673; 25087681,"Korean Society for People, Plants, and Environment",,Tae-Kyoung Lee; Chang-Duck Koo,"This study was conducted to examine effects of community gardening on job stress and job satisfaction experienced by public officials in general administration working in a 24-hour shift. The subjects were public officials at the Center for Missing Children in the Department of Women and Adolescents at the National Police Agency. The center receives initial reports of disappearance of missing children, the elderly with dementia, and people with intellectual disabilities, sends out the report to each police station, and clears the report after the missing individual is found. Twelve public officials working at the center in a double shift (full day off after a night shift, four-day interval) were grouped into four teams and total 11 of them participated in the experiment. They engaged in autonomous community gardening activities such as sowing seeds, cultivating plants, harvesting, or cooking in the workplace for five weeks from August 19 to September 22, 2018. The findings were as follows. After five weeks of autonomous gardening activities, job stress of the subjects decreased significantly. Their mean scores of job satisfaction and organizational commitment under organizational effectiveness showed a significant increase after the activities. Finally, there were significant differences in their self-esteem after participating in the gardening activities in the workplace. These results suggest that gardening activities in the workplace can help to manage job stress and quality of work life for shift workers.",Organizational effectiveness; Psychology; Job satisfaction; Community gardening; Self-esteem; Night Shift Work; Job stress; Stress reduction; Social psychology,gardening in the workplace; job satisfaction; night shift work; stress reduction,,,10.11628/ksppe.2019.22.2.119
017-261-955-815-951,A test of age bias in children and adults in prospective person memory,2023-10-17,2023,journal article,Applied Cognitive Psychology,08884080; 10990720,Wiley,United States,Kara N. Moore; Raevan L. Hanan; Kassandra Gaona,"<jats:title>Abstract</jats:title><jats:p>Children are disproportionately represented amongst missing people in the United States. Search campaigns target adults to search for missing children, but age biases in face recognition may affect adults' efficacy at sighting missing children. We hypothesized that own‐age biases in children (7–9 years; <jats:italic>N</jats:italic> = 105) and adults (18–30 years; <jats:italic>N</jats:italic> = 108) would affect their ability to sight children and adults. Participants completed a prospective person memory task with a simultaneous ongoing task to simulate multi‐tasking while searching for missing people. Both child and adult participants were more accurate at sighting missing adults than missing children. Adults exhibited an own‐age bias. Adult participants were more accurate at sightings than child participants. In conclusion, adults were better suited to search for missing people of all ages than children, and this pattern of results may be impacted by experience with faces.</jats:p>",Psychology; Affect (linguistics); Task (project management); Test (biology); Developmental psychology; Young adult; Prospective memory; Missing data; Cognition; Psychiatry; Paleontology; Computer science; Biology; Management; Communication; Economics; Machine learning,,,,10.1002/acp.4140
017-547-315-915-050,Missing children: how Chilean schools evaded accountability by having low-performing students miss high-stakes tests,2020-05-08,2020,journal article,"Educational assessment, evaluation and accountability",18748600; 18748597,Springer Science and Business Media LLC,Germany,Alvaro Hofflinger; Paul T. von Hippel,"High-stakes testing pressures schools to raise test scores, but schools respond to pressure in different ways. Some responses produce real, broad increases in learning, but other responses can raise reported test scores without increasing learning. We estimate the effect of an accountability program on reading scores and math scores in Chile. Over a 6-year period, fourth-grade reading and math scores rose by 0.2 to 0.3 standard deviations, on average, and half the rise was due to the accountability program. However, many schools, especially schools serving disadvantaged students, inflated their accountability ratings by having low-performing students miss high-stakes tests. To encourage healthier responses to accountability, we recommend setting accountability goals that are attainable for schools with disadvantaged students, and providing incentives for all students to take high-stakes tests.",Accountability; Test (assessment); Disadvantaged; Incentive; Medical education; Reading (process),Accountability; Campbell’s law; Chile; Gaming the system; High-stakes,,,10.1007/s11092-020-09318-8
017-583-207-661-071,Tracking missing children,,1999,journal article,Communications of The ACM,00010782; 15577317,Association for Computing Machinery (ACM),United States,Robert Fox,,Artificial intelligence; Computer vision; Computer science; Tracking (particle physics),,,,
017-677-361-883-868,Missing - Children and Young People with SEBD,2005-03-01,2005,journal article,Emotional & Behavioural Difficulties,13632752; 17412692,Informa UK Limited,United Kingdom,John Visser; Harry Daniels; Natasha Macnab,"This article explores the issue of missing from and missing out on education. It argues that too little is known with regard to the characteristics of children and young people missing from schooling. It postulates that many of these pupils will have social, emotional and behavioural difficulties which are largely unrecognized and thus not provided for. The number of missing children and young people is estimated at 100,000 and evidence is provided to support this. Literature is drawn upon which illustrates ways in which it is possible to go missing despite recent attempts by agencies to tighten recording systems. The cost to society from having pupils missing from education is briefly explored. The article concludes that the notion of a 'knot worker' is one that should be pursued if the number of missing pupils is to be effectively reduced.",Developmental psychology; Psychology; Knot (mathematics),,,,10.1177/1363275205050884
017-915-350-916-987,"NISMART: National Incidence Studies of Missing, Abducted, Runaway, and Thrownaway Children: National Estimates of Missing Children: Selected Trends, 1988-1999",,2004,dataset,PsycEXTRA Dataset,,Unmaintained records,,Healther Hammer; David Finkelhor; Andrea J. Sedlak; Lorraine E. Porcellini,,Missing data; Incidence (geometry); Demography; Psychology; Statistics; Geography; Mathematics; Sociology; Geometry,,,,10.1037/e400312005-001
018-288-720-612-603,Missing Children: Rhetoric and Reality,1991-10-01,1991,book,,,,,Martin Forst; Martha-Elin Blomquist,,Aesthetics; Rhetoric; Sociology; Social science,,,,
018-313-635-893-879,Building of the World’s Largest DNA Database: The China Case,2020-12-12,2020,book chapter,"Forensic DNA Typing: Principles, Applications and Advancements",,Springer Singapore,,Ausma Bernotaite,"Started only in 2005, China has already entered 68 million profiles into its National DNA Database (NDNAD), according to the data presented by NDNAD governing agency—the Chinese Institute of Forensic Science, Ministry of Public Security, at the Asian Forensic Sciences Network in September 2018, Beijing, China. Following the data presented by the same government agency at the International Society for Forensic Genetics in 2017, Seoul, Korea, the database grew to the said number from a reported 55 million profiles in less than 1 year. This number implies that by the number of profiles entered, the Chinese NDNAD is by far the largest in the world, followed by 17,530,781 profiles in the National DNA Index of the United States of America in 2018 and 6,024,032 profiles in the NDNAD of the United Kingdom in 2017. Additionally, National Missing Children DNA Database was created in 2009 to include genetic data from parents and their children. While large in the mere count of profiles included, it currently covers a relatively low percentage of approximately 4.5% of the Chinese population and has not provided globally comparable match, or hit, rates for criminal case inquiries. Despite its rapid expansion and swift adoption of emerging genetic technologies, little effort has been made to share the developmental details of the database. This chapter serves as a short summary to trace the development timeline, goals, technological applications, main actors, as well as the biggest achievements and future plans of the Chinese NDNAD. It is concluded with the emphasis for the need to ground national databases in strong socio-legal considerations.",Agency (sociology); Government; China; Geography; Beijing; DNA database; National DNA database; Dna index; Timeline; Economic growth,,,,10.1007/978-981-15-6655-4_33
018-450-976-793-463,"Kinship verification from faces: Methods, databases and challenges",,2016,conference proceedings article,"2016 IEEE International Conference on Signal Processing, Communications and Computing (ICSPCC)",,IEEE,,Xiaoting Wu; Elhocine Boutellaa; Xiaoyi Feng; Abdenour Hadid,"Automatic kinship verification from face images aims at verifying whether two persons have a kin relation or not by only comparing their visual facial similarities. This is an emerging topic in face analysis and computer vision. Automatic kinship verification is useful in many applications such as finding missing children, image annotation, and social media analysis. In the recent years, there has been a lot of efforts in developing methods to cope with this challenging but important research problem. This paper introduces the topic, discusses the proposed methods, describes the available databases, highlights the open issues and challenges and points out directions for future research.",The Internet; Kinship; Automatic image annotation; Data science; Relation (database); Face (sociological concept); Computer science; Social media; Feature extraction; Database,,,,10.1109/icspcc.2016.7753700
018-522-374-651-206,NOTED: Lost in translation,2014-05-31,2014,journal article,Pacific Journalism Review,23242035; 10239499,Auckland University of Technology (AUT) Library,New Zealand,David Robie,"Review of: Understanding Micronesia: A cultural guide for researchers and visitors, by Tim Hogan. Penang, Malaysia: Southbound Press. Communication for Development and Social Change Series. 2008. 98pp. ISBN 9789389054491. New Zealand media and journalists largely equate the ‘Pacific’ with Polynesia. The focus of reportage and understanding the region begins with the Cook islands and ends with Niue, Samoa and Tonga, with a limited grasp of Fiji. Anything west of Nadi, the Melanesian nations, gains cursory attention and Tahiti Nui (Polynesian) and Kanaky (Melanesian) are all but ignored.",Engineering; Publishing; Project commissioning; Social change; Ethnology; Hogan; Media studies,,,,10.24135/pjr.v20i1.205
018-724-533-163-150,Parental reference photos do not always improve the accuracy of forensic age progressions.,2020-08-13,2020,journal article,Science & justice : journal of the Forensic Science Society,18764452; 13550306,Forensic Science Society,United Kingdom,Andrew C. Provenzano; James Michael Lampinen; William Blake Erickson; Charlie D. Frowd; Greg Mahoney,"Abstract During long-term missing children cases, forensic artists construct age-progressions to estimate the child’s current appearance. It is commonly believed that incorporating information about the child’s biological relatives is critical in accurately estimating the child’s current appearance. However, some evidence suggests that predicting appearance based on inheritance of features may be error prone. The present studies examine whether age-progressions constructed with the aid of a biological reference photos led to better recognition than those constructed without a biological reference. We also investigated whether there would be any variation depending on the age-range of the age-progressions. Eight professional forensic artists created age-progressions based upon photographs provided by each of our eight targets. Half of their age progressions with the aid of parental reference photos and half without parental reference photos. Furthermore, half were age-progressed across a longer age-range (5–20 years) and half covered a shorter age-range (12–20 years). In Experiment 1 similarity scores were higher over shorter age-ranges. Further, across longer age-ranges age-progressions created with the aid of a parental reference were lower than those without a reference. In Experiment 2 recognition performance was higher across shorter age-ranges. Additionally, across longer age-ranges age-progressions created with the aid of a parental reference were recognized worse than those without a reference. These results suggest that in long-term missing person cases, forensic artists may benefit from not relying on biological references. Finally, consistent with previous research (e.g. Lampinen et al., 2012) age-progressions provided no benefit over using outdated photographs.",Developmental psychology; Forensic science; Psychology; Construct (philosophy); Similarity (psychology); Variation (linguistics); Age progression; Appearance based; Forensic imaging; Missing person,Age progression; Forensic imaging; Missing persons; Parental reference,"Adolescent; Adult; Child; Child, Preschool; Humans; Parents; Young Adult",,10.1016/j.scijus.2020.08.003
018-778-273-529-868,"#Stillnotfound: Missing Children in South Africa",2019-12-01,2019,journal article,Alternation: Interdisciplinary Journal for the Study of the Arts and Humanities in Southern Africa,10231757; 25195476,University of KwaZulu-Natal,,Monique Emser; Marcel van der Watt,,,missing children; violence against children; abductions; kidnappings; human trafficking; interpersonal violence; structural violence; child protection World Health Organization n.d. Definition and Typology of Violence. Violence Prevention Alliance,,,10.29086/2519-5476/2019/v26n1a5
018-819-391-805-390,Person Re-identification on Mobile Devices Based on Deep Learning,2020-03-26,2020,conference proceedings article,Proceedings of The 8th IIAE International Conference on Industrial Application Engineering 2020,,The Institute of Industrial Applications Engineers,,Miaomiao Zhu; Shengrong Gong; Zhenjiang Qian; Lifeng Zhang,"Person Re-identification as an important supplement to face recognition, refers to a network of cameras with non-overlapping vision domains, through the use of computer vision technology to solve the cross-camera and cross-scene pedestrian recognition and retrieval. That is, determine whether there is a specific pedestrian to be detected in the different images or different video sequences. At present, many person re-identification research works mainly carried out through experimental verification and evaluation on large ReID datasets such as Market-1501, DukeMTMC-reID, MSMT17, and CUHK03. In this paper, based on the existing deep-learning person re-identification research, combines with the actual application scenarios, under the premise of analyzing the technical feasibility, we propose a complete process for Person Re-identification based on mobile devices, aims to combine pedestrian detection and person re-identification to perform real-time pedestrian detection and query. In this process, not only the features extracted by pedestrians can be reused, but also the research on person re-identification can be better and effectively applied, such as tracking criminals and searching for missing children.",Human–computer interaction; Deep learning; Artificial intelligence; Mobile device; Pedestrian; Premise; Pedestrian detection; Technical feasibility; Facial recognition system; Computer science; Process (engineering),Deep-learning; CNN; Pedestrian detection; ReID; Intelligent security; Mobile Devices,,,10.12792/iciae2020.044
018-932-822-502-776,1. Canada's residential schools,2016-12-31,2016,book chapter,Canada's Residential Schools: Missing Children and Unmarked Burials,,McGill-Queen's University Press,,,,Geography; Political science,,,,10.1515/9780773598256-004
018-967-421-868-064,The Value of Honesty: Empirical Estimates from the Case of the Missing Children,,2011,report,,,National Bureau of Economic Research,,Sara LaLumia; James Sallee,for helpful comments. The views expressed herein are those of the authors and do not necessarily reflect the views of the National Bureau of Economic Research.Ņ BER working papers are circulated for discussion and comment purposes. They have not been peerreviewed or been subject to the review by the NBER Board of Directors that accompanies official NBER publications.,,,,,10.3386/w17247
019-233-392-419-131,"Constructing the Runaway Youth Problem: Boy Adventurers to Girl Prostitutes, 1960–1978",2003-06-01,2003,journal article,Journal of Communication,00219916; 14602466,Oxford University Press (OUP),United States,Karen M. Staller,"In this longitudinal qualitative case study, the author examined the social construction of “runaway youth” in print media during 1960‐1978. The study found running away was an unconstructed problem (or simmering social condition) in the early 1960s and featured harmless adventures. In 1967, moral panic associated with the “hippie” discourse resulted in rewriting the basic runaway narrative. Afterwards, “runaway youth” emerged as a socially constructed problem featuring teenage girl prostitutes. This study contributes to the “runaway” discourse in general; situates discourse about runaways as predecessor to that of “missing children” documented by other researchers; provides insight into the rhetorical processes—within the print media domain—at work in public problem construction; and allows insights into the mechanics of how moral panic alters basic scripts in public problem narratives.",Gender studies; Sociology; Moral panic; Fugue; Content analysis; Social constructionism; Rhetorical question; Narrative; Hippie; Media studies; Adventure,,,,10.1111/j.1460-2466.2003.tb02594.x
019-282-164-299-503,"Evaluation of immunization coverage within the Expanded Program on Immunization in Kita Circle, Mali : a cross-sectional survey",2009-10-14,2009,journal article,BMC international health and human rights,1472698x,Springer Science and Business Media LLC,United Kingdom,A.K. Koumaré; Drissa Traoré; Fatouma Haidara; F Sissoko; Issa Traore; Sékou Dramé; Karim Sangaré; Karim Diakité; Bréhima Coulibaly; Birama Togola; Aguissa Maïga,"Background; In 1986, the Government of Mali launched its Expanded Program on Immunization (EPI) with the goal of vaccinating, within five years, 80% of all children under the age of five against six target diseases: diphtheria, tetanus, pertussis, poliomyelitis, tuberculosis, and measles. The Demographic and Health Survey carried out in 2001 revealed that, in Kita Circle, in the Kayes region, only 13% of children aged 12 to 23 months had received all the EPI vaccinations. A priority program was implemented in 2003 by the Regional Health Department in Kayes to improve EPI immunization coverage in this area.",Public health; Vaccination; Measles; Tetanus; Rural health; Diphtheria; Immunization; Poliomyelitis; Medicine; Environmental health,,,,10.1186/1472-698x-9-s1-s13
019-975-914-441-858,Further evidence on the extent and time course of repeat missing incidents involving children: A research note:,2021-10-25,2021,journal article,"The Police Journal: Theory, Practice and Principles",0032258x; 17405599,SAGE Publications,,Clara Galiano López; Jane Hunter; Toby Davies; Aiden Sidebottom,"This study examines the extent and time course of repeat missing incidents involving children. Using data from one UK police force (n = 2,251), we find (1) that the majority (65%) of missing incide...",Psychiatry; Psychology; Time course,Children; missing; police; repeat,,,10.1177/0032258x211052900
020-008-281-593-30X,Misperceptions about missing children.,1988-02-01,1988,journal article,American journal of diseases of children (1960),0002922x,American Medical Association,United States,Edward L. Schor,"Sir .—The article by Price and Desmond 1 is a welcome addition to the scarce scientific literature on the topic of missing children. Their study of the knowledge and attitudes of fifth-grade children about this subject attests to the effectiveness of the media in arousing concern and its ineffectiveness in providing valid information about this subject. The apparent anxiety of the children lends support to the contention that children and parents have been victimized by the ""missing children"" campaign itself. 2 The generic use of the term missing children has contributed in large measure to the widespread misperceptions of children and adults about abduction. As the authors point out, most ""missing children"" have run away from home; some have been abducted by an angry or anguished parent during the process of a divorce. A small proportion of missing children are abducted by strangers. The American Academy of Pediatrics has urged",Developmental psychology; Human factors and ergonomics; Occupational safety and health; Pediatrics; Injury prevention; Subject (philosophy); Scientific literature; Poison control; Suicide prevention; Anxiety; Medicine,,Child; Child Custody; Child Welfare; Crime; Humans; Pediatrics; Runaway Behavior,,10.1001/archpedi.1988.02150020021018
020-146-033-882-140,Aging Deep Face Features: Finding Missing Children,2019-11-18,2019,preprint,arXiv: Computer Vision and Pattern Recognition,,,,Debayan Deb; Divyansh Aggarwal; Anil K. Jain,"Given a gallery of face images of missing children, state-of-the-art face recognition systems fall short in identifying a child (probe) recovered at a later age. We propose an age-progression module that can age-progress deep face features output by any commodity face matcher. For time lapses larger than 10 years (the missing child is found after 10 or more years), the proposed age-progression module improves the closed-set identification accuracy of FaceNet from 40% to 49.56% and CosFace from 56.88% to 61.25% on a child celebrity dataset, namely ITWCC. The proposed method also outperforms state-of-the-art approaches with a rank-1 identification rate from 94.91% to 95.91% on a public aging dataset, FG-NET, and from 99.50% to 99.58% on CACD-VS. These results suggest that aging face features enhances the ability to identify young children who are possible victims of child trafficking or abduction.",Face (geometry); Speech recognition; Child trafficking; Facial recognition system; Computer science; Identification (information),,,,
020-158-083-880-74X,Postmortem identification,1999-01-01,1999,dissertation,,,San Jose State University Library,,Kevin Whitten,program designed to assist in establishing the identity of missing children when decomposed or skeletal remains children when decomposed or skeletal remains,Identification (biology); Identity (music); Computer science; Medicine; Computational biology; Data science; Biology; Physics; Botany; Acoustics,,,,10.31979/etd.wvua-s688
020-459-788-054-738,Natural disasters and missing children,2021-11-24,2021,journal article,Health economics,10991050; 10579230,Wiley,United States,Sundar Ponnusamy,"Using an exogenous measure of natural disasters based on physical intensities, I examine their impact on child mortality. I find that children, mostly, in poor countries are affected - a one standard deviation increase in the natural disaster index leads to an additional 6.77 deaths per 1000 live births in the disaster year. The impact is long lasting, extending beyond the disaster year. I provide suggestive evidence of the potential mechanisms driving these effects, namely, lower GDP and vaccination rates among children, along with an increased maternal mortality and disease incidence in low-income countries due to disasters. Using an endogenous measure of disasters based on damage records from insurance data leads to severe underestimation of the disaster impact. The results are robust to the use of mortality rates from multiple sources, different functional forms, and an extensive dynamic panel specification as well as various other tests.",Natural disaster; Mortality rate; Geography; Index (economics); Long lasting; Disaster impact; Child mortality; Environmental health,child mortality; environmental costs; natural disasters,Child; Disasters; Humans; Natural Disasters,,10.1002/hec.4458
020-630-577-756-497,Associated Adults: Prospective Person Memory for Family Abducted Children,2013-03-09,2013,journal article,Journal of Police and Criminal Psychology,08820783; 19366469,Springer Science and Business Media LLC,Germany,James Michael Lampinen; Lindsey Nicole Sweeney,"In family abductions, authorities sometimes release pictures of both missing children and associated adults. The effectiveness of this approach was tested in a prospective person memory experiment. Participants studied mock missing child posters including a picture of a child, a picture of a child alongside a picture of the correct adult, or a picture of a child alongside a picture of the incorrect adult. Participants then saw pictures of child/adult pairs with instructions to make a response to ‘alert authorities’ if the target individuals were seen. Including the picture of the correct adult on the poster, significantly improved recognition relative to the other two conditions. There was no significant effect of including the picture of the incorrect associated adult.",Developmental psychology; Legal psychology; Psychology,,,,10.1007/s11896-013-9120-3
020-849-041-582-333,Autosomal STR loci for improving the kinship discrimination power for missing children and forensic application,2014-01-15,2014,journal article,Genes & Genomics,19769571; 20929293,Springer Science and Business Media LLC,South Korea,Seong Yeon Yoo; Sang Hyun An; Ji Hye Park; Na Yeon Kim; Young Ae Lee; Jong Jin Kim; Ki Won Park; Ki Wha Chung,"Short tandem repeats (STRs) loci are very useful genomic markers with high power of individual discrimination, thus, they have been used for population genetics, forensic application and complex kinship analyses. In this study, we examined allele frequencies and forensic parameters for a total of 23 STR loci, that is, 17 established STRs with 13 CODIS core STR loci and D2S1338, D19S433, Penta E, and Penta D loci, and 6 new STRs (D10S1248, D22S1045, D2S441, D1S1656, D12S391, and SE33) in a sample of 545 unrelated individuals in South Korea. All loci were highly polymorphic and no significant departure from Hardy–Weinberg equilibrium was observed. The addition of 6 new loci to the 17 established STRs increased their power of discrimination by almost eight orders of magnitude (2.52 × 10−20–4.44 × 10−28) and improved the specificity of missing children database searches. Furthermore, we found several microvariant alleles at D2S441 and SE33 loci that have not been reported in the Korean population. We believe that this analysis will be useful for forensic application, deficiency paternity testing and expanding previously established Korean DNA databases.",Kinship; Polymorphism (computer science); Allele; DNA database; Allele frequency; Human genetics; Genetics; Microsatellite; Population genetics; Biology,,,,10.1007/s13258-014-0173-1
